name,author,rating,quantity
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritualâ€¦",Zhi Gang Sha,4.6,10
Steve Jobs,Walter Isaacson,4.6,10
Strange Planet (Strange Planet Series),Nathan W. Pyle,4.9,10
StrengthsFinder 2.0,Gallup,4.0,10
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,4.5,10
Switch: How to Change Things When Change Is Hard,Chip Heath,4.6,10
Sycamore Row (Jake Brigance),John Grisham,4.5,10
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,10
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,10
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,4.3,10
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,10
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,10
The 5000 Year Leap,W. Cleon Skousen,4.8,10
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,10
The Alchemist,Paulo Coelho,4.7,10
The Amateur,Edward Klein,4.6,10
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,10
The Big Short: Inside the Doomsday Machine,Michael Lewis,4.7,10
The Blood of Olympus (The Heroes of Olympus (5)),Rick Riordan,4.8,10
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,4.2,10
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8,10
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.7,10
The Book Thief,Markus Zusak,4.6,10
The Book with No Pictures,B. J. Novak,4.8,10
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.8,10
The Casual Vacancy,J.K. Rowling,3.3,10
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Dietâ€¦,Thomas Campbell,4.7,10
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,10
The Confession: A Novel,John Grisham,4.3,10
